iter	Passed	Remaining
1531	51070	48936
1532	51100	48900
1533	51134	48868
1534	51172	48839
1535	51203	48803
1536	51238	48771
1537	51267	48734
1538	51298	48698
1539	51329	48663
1540	51363	48630
1541	51395	48596
1542	51435	48568
1543	51467	48533
1544	51494	48494
1545	51519	48453
1546	51547	48415
1547	51582	48383
1548	51617	48351
1549	51651	48318
1550	51685	48286
1551	51723	48257
1552	51762	48229
1553	51791	48191
1554	51832	48165
1555	51871	48137
1556	51906	48105
1557	51935	48068
1558	51970	48037
1559	51985	47986
1560	52021	47955
1561	52054	47922
1562	52087	47888
1563	52114	47849
1564	52147	47816
1565	52181	47783
1566	52216	47751
1567	52255	47723
1568	52279	47680
1569	52312	47647
1570	52350	47618
1571	52383	47585
1572	52425	47559
1573	52463	47530
1574	52491	47491
1575	52523	47457
1576	52557	47424
1577	52593	47393
1578	52627	47361
1579	52660	47327
1580	52697	47297
1581	52732	47265
1582	52766	47233
1583	52802	47202
1584	52833	47166
1585	52868	47134
1586	52900	47100
1587	52938	47071
1588	52979	47044
1589	53016	47014
1590	53053	46984
1591	53079	46944
1592	53116	46914
1593	53147	46879
1594	53188	46852
1595	53210	46809
1596	53249	46780
1597	53287	46751
1598	53323	46720
1599	53364	46694
1600	53390	46654
1601	53422	46619
1602	53457	46588
1603	53496	46559
1604	53529	46526
1605	53570	46498
1606	53614	46474
1607	53653	46446
1608	53692	46417
1609	53728	46386
1610	53767	46358
1611	53805	46328
1612	53840	46296
1613	53877	46266
1614	53910	46233
1615	53956	46209
1616	53990	46177
1617	54023	46143
1618	54063	46116
1619	54091	46078
1620	54123	46042
1621	54151	46005
1622	54190	45976
1623	54225	45944
1624	54262	45914
1625	54298	45883
1626	54330	45848
1627	54373	45823
1628	54410	45793
1629	54444	45760
1630	54474	45723
1631	54507	45689
1632	54542	45658
1633	54583	45630
1634	54619	45599
1635	54654	45567
1636	54690	45536
1637	54731	45509
1638	54772	45481
1639	54812	45453
1640	54851	45425
1641	54896	45401
1642	54940	45376
1643	54985	45352
1644	55026	45326
1645	55067	45298
1646	55110	45273
1647	55156	45249
1648	55187	45213
1649	55221	45181
1650	55261	45153
1651	55296	45120
1652	55330	45087
1653	55367	45056
1654	55391	45015
1655	55429	44986
1656	55480	44966
1657	55521	44939
1658	55556	44907
1659	55588	44872
1660	55627	44843
